CollectionDate	IndID	R1_local	R2_local	RepNumber
5/7/21	NA19184	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D10_S46_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D10_S46_R2_001.fastq.gz	1
5/7/21	NA18498	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D11_S47_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D11_S47_R2_001.fastq.gz	1
5/7/21	NA18924	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D12_S48_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D12_S48_R2_001.fastq.gz	1
5/7/21	NA19146	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E01_S49_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E01_S49_R2_001.fastq.gz	1
5/7/21	NA19150	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E02_S50_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E02_S50_R2_001.fastq.gz	1
5/7/21	NA19096	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E03_S51_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E03_S51_R2_001.fastq.gz	1
5/7/21	NA19198	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E04_S52_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E04_S52_R2_001.fastq.gz	1
5/7/21	NA18504	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E06_S54_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E06_S54_R2_001.fastq.gz	1
5/7/21	NA18516	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E07_S55_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E07_S55_R2_001.fastq.gz	1
5/7/21	NA18862	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E08_S56_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E08_S56_R2_001.fastq.gz	1
5/7/21	NA19203	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E09_S57_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E09_S57_R2_001.fastq.gz	1
5/7/21	NA18510	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E10_S58_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E10_S58_R2_001.fastq.gz	1
5/7/21	NA19147	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E11_S59_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-E11_S59_R2_001.fastq.gz	1
