"ID","Description","Affected Status","Product","Source","Mutations","Sex","Age at Sampling","Race","Family","Relationship to Proband","Family Member Number"
GM18510,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,,proband,
GM19117,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y100,father,3
GM18499,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y003,mother,2
GM18910,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y027,father,3
GM19108,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y006,mother,2
GM19107,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y006,father,3
GM19121,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y061,father,3
GM19184,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y039,father,3
GM19213,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y110,father,3
GM18852,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y018,mother,2
